Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link
General Affair Executive,PT JJLAPP Cable Works Indonesia,Pasar Kemis,Full time,,"General Services & Operational Coordination: Oversee daily general services operations including canteen or catering service, housekeepers, gardener, drivers and pantry operational to ensure effective support for office and Factory and business activities. Including coordinating internal company events for management or employees.; Employee Administration & Attendance Monitoring: Maintain and update employee records, monitor daily absenteeism (including outsourced staff), investigate irregular attendance cases, and record and verify overtime data with relevant departments.; Reporting & Payroll Support: Prepare and submit monthly reports related to attendance, absenteeism, and overtime to support payroll processing and HR administration.; Travel, Accommodation & Leave Administration: Arrange travel tickets, hotel bookings, and accommodation for company guests, trainings, or business needs, and act as an e-leave coordinator by managing employee leave applications through the company system.; Vendor Management, Office Supplies & Petty Cash Control: Manage GA and HR-related vendors including annual contracts, monitor office supplies and facility services, prepare monthly service reports, and maintain petty cash availability, recording and analyzing its usage.; Front Office & General Administrative Support: Manage visitors professionally, maintain the reception area and meeting rooms, and perform general administrative tasks and other duties as assigned.; Diploma or Bachelor’s degree in Management, Business Administration, Office Administration, or other related fields.; Minimum 1–3 years of experience in General Affairs, administration, or office management.; Proficient in Microsoft Office (Word, Excel, Outlook), with the ability to prepare reports and maintain accurate records.; Experience in attendance monitoring, overtime tracking, and payroll supporting data is highly preferred.; Able to manage petty cash, including recording, monitoring, and basic expense analysis.; Familiar with vendor management, contract administration, and coordination with external service providers.; Highly organized, good communication and interpersonal skills, with a service-oriented mindset.; Trustworthy, responsible, and able to maintain confidential company and employee information.",https://id.jobstreet.com/id/job/91554409?type=standard&ref=search-standalone&origin=cardTitle
CRM,PT. Sumber Rejeki Exata Indonesia,Bekasi,,Rp 3.500.000 – Rp 5.000.000 per month,"Mengelola database customer & partner (B2B); Menjaga hubungan baik dengan customer melalui komunikasi rutin; Menginput dan mengelola data leads ke dalam sistem CRM; Melakukan follow up leads (warm & cold leads); Menyusun strategi untuk meningkatkanretensi customer; Mengirimkan update produk, promo, dan informasi penting; Membuat laporan:Data customerAktivitas follow upConversion & retention rate; Data customer; Aktivitas follow up; Conversion & retention rate; Menganalisa data untuk meningkatkan efektivitas CRM",https://id.jobstreet.com/id/job/91360252?type=standard&ref=search-standalone&origin=cardTitle
Staff Account Receivable (Penagihan),PT. RAMOT INTI SELARAS KARGO,Jakarta Raya,Full time,"Rp 4,000,000 – Rp 6,000,000 per month","Pendidikan minimal D3 (Akuntansi/Keuangan diutamakan); Memiliki pengalaman minimal 2 tahun sebagai Staff AR / Penagihan; Domisili Jakarta Timur ( Cipayung dan sekitarnya ); Teliti, tegas, komunikatif, dan mampu bekerja dengan target; Memiliki kemampuan mengoperasikan Microsoft Office (Ms. Excel, Word & sistem accounting menjadi nilai tambah); Mengkonfirmasi tagihan kepada Customer melalui Email, Line Telepon dan WA berdasarkan jatuh tempo; Membuat invoice, faktur pajak dan mengirimkan invoice kepada customer; Membuat bukti potong PPh 23; Memahami pengetahuan dan kemampuan dasar perpajakan (PPh 4(2), 21, 23, 26, Badan; PPN); Mencatat dan mengarsipkan bukti potong PPh 23 dari customer; Monitoring piutang dan membuat laporan AR secara berkala; Berkoordinasi dengan tim finance dan operasional terkait pembayaran customer",https://id.jobstreet.com/id/job/91347515?type=standard&ref=search-standalone&origin=cardTitle
Data Center Warehouse Executive,TITANICOM TECH LIMITED,Jakarta Raya,Full time,,"Assist in managing data center warehouse assets, including inbound and outbound inventory handling.; Maintain accurate asset records, ensure timely updates of stock data, and support audit requirements.; Handle basic hardware equipment (e.g. servers, network devices) — asset tagging, inspection, and reporting.; Coordinate with internal teams on asset movement, delivery, and return processes.; Support the asset manager in daily warehouse operations and documentation.; Participate in 24/7 shift rotation and on-call support schedule as required.; Participate in continuous learning and skill development related to IT hardware and asset management.; 1-3 years of related industry experience and at least 3 years of work experience; Familiar with common data center equipment (switches, servers), components and consumables (optical modules, boards, fibers); warehouse management experience; familiar with warehouse environmental requirements and dust/moisture prevention measures; good at proactively identifying and solving problems; conceptual understanding of IDC asset lifecycle from warehousing to decommissioning.; Responsible and detail-oriented, with strong organizational skills.; Diverse educational backgrounds are welcome — IT-related majors are preferred.; Must haveChinese Language Proficiency",https://id.jobstreet.com/id/job/91384475?type=standard&ref=search-standalone&origin=cardTitle
Staff Digital Marketing Ads Specialist,RITEL DIGITAL NUSANTARA,Surabaya,Kontrak/Temporer,Rp 5.500.000 – Rp 6.000.000 per month,"Pendidikan Minimal D3; Berpengalaman handle Digital Marketing, Ads Specialist Meta dan Google; Memiliki Komunikasi yang bagus; Berani menyampaikan Ide dan Pendapat; Sehat Jasmani dan Rohani; Merancang dan Mengeksekusi strategi digital marketing untuk meningkatkan brand awareness, traffic dan penjualan.; Mengelola seluruh channel digital, meliputi Website & SEO, SEM, Performance Ads(Google Ads, Meta Ads, Tiktok Ads), Social Media dan CRM.; Mengembangkan dan mengoptimalkan funnel / marketing pipeline dari awareness hingga conversion; Mengeksekusi digital marketing (Meta ads, CPAS, Google Ads, Youtube ads, CRM); Familiar dengan pixel meta dan mengerti funnelingnya; Melakukan A/B testing pada materi iklan, audience dan funnel penjualan; Menganalisis performa campaign berdasarkan KPI (traffic, conversion rate, ROAS, CAC); Mengelola anggaran digital marketing secara efektif dan efisien; Berkolaborasi dengan tim Creative, Sales, Product Marketing dan IT Development; Memantau tren digital marketing dan perilaku konsumen untuk pengembangan strategi berkelanjutan; Menyusun laporan performa serta rekomendasi strategi berbasis data kepada manajemen",https://id.jobstreet.com/id/job/91232771?type=standard&ref=search-standalone&origin=cardTitle
Accountant & Business Analyst,Greater Group Asia Limited,Jakarta Selatan,Full time,,"Preparation, support, and review of daily data entry transactions across all ledgers; Management of daily invoicing and cashflow, credit management, bank reconciliations, and general ledger; Preparation of month-end and year-end reporting including balance sheet and profit & loss reconciliations, analysis, and commentary; Preparation, maintenance, and responsibility for project reporting including revenue and job costing analysis, timesheet management and other ad-hoc reports; Preparation of finance and cashflow reports including attendance at weekly cashflow meeting; Preparation and analysis of financial performance, budgets, cashflow and forecasts to identify trends and variances; Adherence, development and maintenance of finance policies and procedures; Collaborating with the finance team to optimise reporting processes and system outputs; Partnering with stakeholders to develop and refine financial models and business cases; Identifying cost-saving opportunities and revenue improvement initiatives through data analysis; Providing input into strategic planning, investment decisions, and operational reviews; Developing dashboards and reports using Business Intelligence (BI) tools; Ensuring data accuracy and consistency across finance systems and reports; Conducting scenario and sensitivity analysis to support business planning; Liaising with the finance and operational teams to automate and streamline reporting and analytics; Providing training and mentoring of junior team members; Perform other duties as required",https://id.jobstreet.com/id/job/91583211?type=standard&ref=search-standalone&origin=cardTitle
QS (Quantity Surveyor),PT Accesstech Super Jaya,Cikarang,Full time,,,https://id.jobstreet.com/id/job/91475341?type=standard&ref=search-standalone&origin=cardTitle
QA Inspector Direct Incoming Material,PT Mitra Prodin,Jembrana,Full time,,"Melakukan pengecekan kedatangan material berdasarkan data di aplikasi “INFOR” maupun aplikasi spesifikasi lainnya.; Melakukan pengambilan sampel material sesuai dengan titik pengecekkan yang didefinisikan dalam Quality Plan dan instruksi kerja proses inspeksi.; Melakukan proses pengecekan sampel dengan cara mengukur dimensi dan/atau inspeksi visual sesuai dengan AQL (Acceptance Quality Level) dan kriteria yang sudah ditetapkan perusahaan.; Membuat laporan hasil inspeksi, baik yang status PASS maupun REJECT.; Mengirimkan laporan kepada semua pihak terkait melalui email.; Membuat NCR jika hasil inspeksi REJECT, dan menginformasikan ke Admin & Supervisor Warehouse tentang kondisi material yang bermasalah.; Teknik inspeksi material; Teknik pengukuran material; Teknik sampling; NC Catalog; Proses cutting kertas cones & filter; Pengetahuan & spesifikasi material packaging; Pengetahuan dasar / awareness ISO 9001:2015; Alur kerja penerimaan material di warehouse; Ms. Excel; E-mail",https://id.jobstreet.com/id/job/91424195?type=standard&ref=search-standalone&origin=cardTitle
Jr. Specialist Data Stewards,"PT Bank Permata, Tbk",Tangerang Selatan,Full time,,"Learn : We always think innovatively to improve the way we work, making it easier, better and faster.; Grow : We provide excellent service to customers and encourage excellent performance in our daily work.; Make a difference : We understand each other and together build strong relationships with internal and external parties based on mutual respect.; Ensure that business data within the assigned domain has clear data definitions.; Ensure that data lineage is well documented.; Ensure that metadata is available and properly managed.; Maintain high data quality to ensure accuracy and consistency.; Establish clear data ownership.; Ensure data security in accordance with applicable policies.; Ensure data is ready to be used for operational, analytical, risk management, and regulatory reporting purposes.; Bachelor’s degree in Information System, Computer Science, Data Science, or related field; 3 years of experience in data management, data quality, data governance, or data analysis is preferred; experience in financial services is a strong advantage.; Strong knowledge of data mining; Familiar with modern enterprise data platforms and governance tools.; Strong problem-solving, organizational, and interpersonal skills are crucial for collaborating with various business stakeholders",https://id.jobstreet.com/id/job/91562452?type=standard&ref=search-standalone&origin=cardTitle
Project Engineer,Datalec Precision Installations Pte Ltd,Batam,Kontrak/Temporer,,,https://id.jobstreet.com/id/job/91168957?type=standard&ref=search-standalone&origin=cardTitle
Laboratory Personnel,PT Solaris Scientific Indonesia,Yogyakarta,,Rp 12.000.000 – Rp 18.000.000 per month,"Candidate must possess at least Bachelor’s Degree/Post Graduate Diploma/Professional Degree in Engineering (Bioengineering/Biomedical), Biology, Biotechnology or equivalent.; At least 1 Year(s) of working experience in the related field is required for this position.; Required Skill(s): Familiar with cGMP standards; Preferably Junior Executive specialized in Science & Technology/Laboratory or equivalent.",https://id.jobstreet.com/id/job/91550290?type=standard&ref=search-standalone&origin=cardTitle
HRGA Admin Generalis,PT SOD Technology Indonesia,Jakarta Pusat,Full time,,,https://id.jobstreet.com/id/job/91147608?type=standard&ref=search-standalone&origin=cardTitle
Electrical Engineering (Programmer),Pengiklan Anonim,Cikarang,Full time,,,https://id.jobstreet.com/id/job/91497470?type=standard&ref=search-standalone&origin=cardTitle
FOOD SAFETY,PT Indocater,Jakarta Raya,,,"Pendidikan minimum D3; Minimum pengalaman 2 tahun bekerja, diutamakan yang pernah bekerja di industri catering; Bersedia bekerja dengan sistem rota kerja yang ditentukan oleh perusahaan; Memastikan kepatuhan terhadap semua persyaratan perusahaan, peraturan, dan pemerintah Indonesia untuk makanan; Mengawasi setiap kegiatan Food Safety baik di kitchen maupun di messhall; Lakukan pemeriksaan kebersihan harian; Memastikan kesiapan diri dan kebersihan pekerja F&B, APD, dan seragam kerja sebelum pekerjaan dimulai.; Secara proaktif memberikan saran atau rekomendasi untuk terus meningkatkan Kinerja Keamanan Pangan; Mengamati setiap potensi bahaya di area di area dapur dan Messhall, serta membuat mitigasi nya.; Memberikan penjelasan/pengarahan terkait Instruksi Kerja (IK) pada saat TBT.; Melakukan pencatatan terkait Food Safety seperti suhu, kebersihan, peralatan masak/makan, dll.; Memberikan Pelatihan Food Safety secara rutin kepada pekerja F&B, dan memastikan bahwa pelatihan yang dilakukan dapat diimplementasikan dengan baik di area kerja.; Memastikan Keamanan makanan/pangan sebelum disajikan",https://id.jobstreet.com/id/job/91597841?type=standard&ref=search-standalone&origin=cardTitle
